"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"Les Papilles Bougival","61 rue du General Leclerc, 78380 Bougival France","2","4.5","Soyez les bienvenus aux Papilles ! :) Nous vous proposons une cuisine Bistronomique Française aux influences Méditerranéennes et Asiatiques. Notre carte évolue régulièrement en fonction des arrivages et de la saisonnalité, vous pouvez réserver en ligne sur notre site, à bientôt Retrouvez nous sur Instagram : @lespapillesbougival","493","$$ - $$$","$17 - $42"
"Bistrot Rougemont","10 rue Rougemont Metro Grand Boulevard, 75009 Paris France","306","4.5",,"451","$$ - $$$",
"Royal Dragon","98 boulevard du Montparnasse, 75014 Paris France","328","4.5","Restaurant de type buffet à volonté chinois japonais . Grande variétés de plats et de dessert à votre disposition beaucoup de choix .","706","$","$12 - $30"
"LOCO","31 bis Rue du Faubourg Montmartre, 75009 Paris France","290","4.5",,"640","$$ - $$$","$16 - $30"
"La Jacobine","59 rue Saint Andre des Arts Passage of the saint andré des arts trade, 75006 Paris France","315","4.5","La Jacobine fait une petite pause du 31 juillet 2023 jusqu'au 28 aout. Ouverture le 29 aout. La direction","2724","$$ - $$$","$13 - $34"
"Holybelly","5 rue Lucien Sampaix, 75010 Paris France","299","4.5","Founded in 2013, Holybelly strives to provide the best food, coffee and service in a relaxed environment. After being trained in Melbourne, we wanted to offer the same kind of experience in Paris, a café setting serving proper restaurant food, the finest mix! At Holybelly ""it's good because we care.""","1297","$$ - $$$","$10 - $30"
"Pizza Caratello","8 rue Audran, 75018 Paris France","287","4.5","Real Italian pizzeria, with large choice of pizzas, delicious Pasta, apetizers, and home Made deserts.","662","$$ - $$$","$17 - $20"
"Lakshmi Bhavan","57 rue Rodier, 75009 Paris France","297","4.5",,"284","$",
"Le Maharaja","48 rue la Condamine, 75017 Paris France","305","4.5","Dear sir/madame please note That Our restaurant Is adapted for européens(it is not suitable for indian) thanking you for you understanding","587","$$ - $$$","$20 - $50"
"Il Carpaccio","37 Avenue Hoche, 75008 Paris France","296","4.5","Our Italian restaurant Il Carpaccio is the only Michelin-star Italian restaurant in Paris. It first opened its doors 30 years ago, and has since established itself as a true institution. Drawing on his heritage, Chef Roberto Rispoli gives a very personal interpretation of traditional family recipes from Italy's many regions, using the best and freshest Italian produce. Originally from Pompei near Naples, Roberto has revived Il Carpaccio under the direction of Executive Chef Laurent Andre, with superstar pastry chef Pierre Herme bringing classic Italian desserts to a whole new level, and Head Sommelier Manuel Peyrondet (Meilleur Ouvrier de France and Best Sommelier in France) sharing his passion for Italian wines. The intimate dining room draws on a Sicilian baroque style with an extravagant shell decor on the walls, opening onto a lovely glass conservatory drenched in light. Two contemporary artists have created unique works of art that add to the Italian theme.","912","$$$$","$65 - $125"
"Oxymore","60 rue Saint Maur, 75011 Paris France","309","4.5",,"399","$$ - $$$",
"A modo mio","4 rue de Turenne, 75004 Paris France","266","4.5",,"313","$$ - $$$","$13 - $35"
"Chez Marcel","7 rue Stanislas, 75006 Paris France","251","4.5",,"938","$$ - $$$","$25 - $60"
"La Becane A Gaston","24 rue Lucien Sampaix, 75010 Paris France","278","4.5",,"355","$$ - $$$","$20 - $60"
"Lorette","Rue Saint Lazare, 75009 Paris France","248","4.5","On the menu, no fake but essential dishes, authentic and tasty French cuisine. Old-fashioned mayo eggs, string salmon with brioche bread or crispy chicken salad, followed by sausage puree, steak or fillet of bar accompanied by chorizo ​​black rice. And finally be tempted by the profiteroles sprinkled with hot chocolate instead or the already famous French toast.","220","$$ - $$$","$14 - $40"
"Eataly Paris Marais","37 Rue Sainte-Croix De La Bretonnerie, 75004 Paris France","307","4",,"2981","$$ - $$$","$10 - $40"
"Invictus","5 rue Sainte Beuve, 75006 Paris France","301","4.5","Welcome to Paris, little french restaurant, near by le Jardin du Luxembourg and Montparnasse area, you will find a traditional french cuisine with some influence from my different visits overseas. Fresh product, veggies, fishes, meats and a lot of different flavours. We are opened every night from 7PM to 10 PM. Hope to see you you soon and be a part of your lovely trip in Paris, A bientôt!!!","902","$$ - $$$","$25 - $70"
"La Vie d'Ange","41 boulevard Saint Jacques Montparnasse, 75014 Paris France","263","4.5","We propose French traditional ""bistronomic"" cuisine with fresh products only, and propose an exceptional choice of french wines (bottles or glasses) that we personally selected. We are located between the Catacombes and the Marriot Rive Gauche Hotel. Open for Lunch and Dinner from Monday to Friday and for Dinner only on Saturday. Closed Sunday. Thierry and Aida will welcome you in their little for a delicious gastronomic and oenological experience....At a very reasonable price. You can also ask for a fixed-price menu for groups (+10 people), or privatize the restaurant for special events (from 25 to 40 people) Contact us by mail on our web-site.","678","$$ - $$$","$28 - $66"
"Sapori di Parma","56 avenue de la Bourdonnais, 75007 Paris France","302","4.5",,"506","$",
"Caracole","2 rue des Anciens Combattants, 92700 Colombes France","1","4.5",,"457","$$ - $$$","$16 - $29"
"La Ripaille","22 Place Louis XIII, 94150 Rungis France","1","4.5",,"279","$$ - $$$",
"Le Poulbot","3 rue Poulbot Montmartre, 75018 Paris France","313","4.5",,"1001","$$ - $$$","$8 - $35"
"Kitchen Terre","26 boulevard Saint-Germain, 75005 Paris France","282","4.5",,"278","$$ - $$$","$26 - $57"
"Little Breizh","11 rue Gregoire de Tours Métro Odéon, 75006 Paris France","291","4.5","...","991","$","$10 - $16"
"Neige d'ete","12 rue de l Amiral Roussin, 75015 Paris France","293","4.5",,"326","$$$$",
"Le Baron Rouge","1 rue Theophile Roussel, 75012 Paris France","310","4.5","Credit Card accepted over 20 euros No reservations Oysters on Saturdays and Sundays from October to April","537","$$ - $$$","$4 - $20"
"Kitchen Galerie Bis","25 rue des Grands Augustins, 75006 Paris France","270","4.5",,"735","$$$$","$29 - $66"
"Mezze De Beyrouth","38 rue de l ouest, 75014 Paris France","295","4.5",,"227","$$ - $$$",
"Joe Burger","49 rue Descartes, 75005 Paris France","236","4.5",,"778","$",
"Le Gourmet","150 boulevard du General Giraud, 94100 Saint-Maur-des-Fosses France","2","4.5",,"730","$$$$",
"Lao Chaleune","29 Rue du Chateau des Rentiers, 75013 Paris France","323","4.5",,"358","$$ - $$$",
"Au Bourguignon du Marais","52 rue Francois Miron 75004 PARIS, 75004 Paris France","373","4.5","Close Saint Louis Island, the Restaurant Au Bourguignon du Marais specialized in recipes from Burgundy, including its mus having Bœuf Bourguignon, as well as its 100% Burgundy wines, available by the glass or by the bottle.","1370","$$ - $$$",
"Le Kigawa","186 rue du Chateau, 75014 Paris France","327","4.5",,"325","$$$$","$58 - $75"
"LE SAIN SERT","3 rue Roque de Fillol, 92800 Puteaux, La Defense France","1","4.5",,"725","$$ - $$$","$18 - $45"
"Le Petit Champerret","30 rue Vernier, 75017 Paris France","345","4.5",,"264","$$$$",
"Meating Corner","8 Rue des Lombards, 75004 Paris France","319","4.5",,"390","$","$14 - $30"
"Mon Bistrot","33 rue Marcel Dassault, 92100 Boulogne-Billancourt France","2","4.5","Sortez à la porte de Saint-Cloud, arrivez à Boulogne, « Mon Bistrot » vous attend pour vous proposer une cuisine de saison généreuse et savoureuse. Dès votre arrivée, un accueil convivial donne le ton dans un décor Bistrot « Chic » aux couleurs douces et harmonieuses. Un joli bar se présente à vous sur lequel il vous est possible de déguster une planche de Pata Negra accompagnée d’un vin de propriétaire ou d’un grand cru. En plus de la salle principale, le restaurant dispose d’un coin Bibliothèque plus intime pouvant vous accueillir pour vos diner d’affaire ou en famille. Côté cuisine, notre Chef Loïc et son équipe, vous propose quelques recettes soigneusement élaborées à l’exemple d’un Risotto au Poulpe déglacé au jus de Coque et son Crumble à l’encre de Seiche, des pâtes au Homard ou encore l’échine de Cochon fermier et son gratin Dauphinois qui sauront vous conquérir. Sans oublier notre fameux filet de Bœuf d’Argentine cuit à l’unilatérale, un incontournable ! En dessert, l’ini","597","$$ - $$$","$25 - $60"
"L'Insoumise","15 rue Auguste Chabrieres, 75015 Paris France","304","4.5","Restaurant traditionnel servant une cuisine Française. A deux pas de la Porte de Versailles et du Dôme de Paris, nous vous accueillons à l'occasion de salons, conventions ou spectacles. Réservez sur notre site internet et obtenez votre table, chez nous et ""chez vous"". Parfois ouvert le Dimanche. Traditional french restaurant near the ""Parc Expo Porte de Versailles"". Come and have diner during an exhibition or convention. Book your table on our website, get your table, and ""feel at home"". Open on Sunday exceptionally for groups.","299","$$ - $$$","$15 - $25"
"Maison Pinsa","8 Rue Du Faubourg Poissonniere, 75010 Paris France","294","5",,"86","$$ - $$$",
"Chez Renata","3 B rue Edouard Cornefert, 93600 Aulnay-sous-Bois France","2","4.5",,"193","$",
"Mavrommatis","42 rue Daubenton, 75005 Paris France","340","4.5","Rewarded with a Michelin star in 2018, the Mavrommatis restaurant has been the benchmark for Greek gastronomy in Paris since 1993. The establishment combines, through skilfully studied aesthetic dishes, ""the best products from Greek terroirs with French cooking techniques. Acclaimed by many personalities, by the gourmets of the Censier Daubenton district and by all of Paris, Mavrommatis offers an enchanting Mediterranean break in the heart of the capital. For your evenings or dinners a private lounge is located on the first floor.","486","$$$$","$37 - $147"
"Chez Delphine","48 Rue Saint-Georges, 75009 Paris France","326","4.5",,"484","$$ - $$$","$22 - $45"
"Aux Cerises","47 avenue de Suffren, 75007 Paris France","336","4.5","Breakfast, lunch, Brunch and tea time","399","$$ - $$$","$13 - $29"
"Le Vieux Bistrot","54 rue Mouffetard, 75005 Paris France","312","4.5",,"786","$$ - $$$","$22 - $35"
"Le Charentonneau","159 avenue du General Leclerc, 94700 Maisons-Alfort France","1","4.5",,"674","$$ - $$$",
"L'Alchimiste","181 rue de Charenton, 75012 Paris France","318","4.5","Ce restaurant était anciennement un vieux bougnat. Paulo est au commande de l'Alchimiste depuis 15 ans. Il vous offre une cuisine créative et généreuse dans une ambiance bistrot. Prix Abordables et service toujours de bonne humeur au rendez vous!","523","$$ - $$$","$12 - $25"
"La Brasserie Thai","5 rue Poulbot, 75018 Paris France","320","4.5","Brasserie Thai traditionnelle a Montmartre. Fermeture : lundi - mardi Service continu samedi, dimanche et jours feries Salle de reception a l'etage","441","$$ - $$$","$15 - $43"
"Bistrot La-Haut","70 avenue Franklin Roosevelt, 92150 Suresnes France","1","4.5",,"728","$$$$","$32 - $33"
"Fric-Frac Canal St-Martin","79 quai de Valmy, 75010 Paris France","331","4.5",,"274","$","$10 - $25"
"Restaurant Le W","5 rue de Berri Hotel le Warwick, 75008 Paris France","314","4.5",,"699","$$$$","$34 - $39"
"Rajpoot","2 avenue Emile Zola, 94100 Saint-Maur-des-Fosses France","3","4.5",,"647","$$ - $$$",
"Chez Pradel","168 rue Ordener, 75018 Paris France","334","4.5",,"277","$",
"Jeannot et Colin","51 Boulevard Voltaire, 75011 Paris France","333","4.5",,"271","$$ - $$$","$15 - $45"
"Thai Spices","5 rue de l ave Maria, 75004 Paris France","324","4.5","The owner and the staff changed since June 12th 2014.","591","$$ - $$$","$30 - $50"
"Yakigushi","42 avenue Henri Ginoux, 92120 Montrouge France","3","4.5","The restaurant is closed from July 14th 2018 to August 15th 2018 included.","278","$$ - $$$",
"Vava","42 rue Veron Metro : Blanche Ou Abesses, 75018 Paris France","347","4.5","Located at 42 rue Véron, Vava is a neobistrot with Mediterranean influences. Offering a cuisine of instinct open to the world, Vava nonetheless retains as a main focus French cuisine revisited. Benjamin Mathieu, trained in the kitchens of Alain Ducasse (Louis XV) and Eric Frechon (Bristol), is the chief executive.","255","$$ - $$$","$35 - $60"
"Les Papilles","30 rue Gay Lussac, 75005 Paris France","317","4.5",,"2320","$$ - $$$","$141"
"Les Rupins","35 boulevard de Magenta Angle Boulevard de Magenta et Rue de Nancy, 75010 Paris France","344","4.5","Restaurant typiquement parisien. Ambiance décontractée et cuisine 100 % fait maison. Vous serez reçu comme si vous étiez à la maison. Ouvert 7 jours sur 7, de 12h à 15h et de 18h30 à 22h30. Le samedi service jusqu'à 23h.","1061","$$ - $$$","$20 - $40"
